,game_date,game_id,batter_id,at_bats,hits,strikeouts,strikeouts_looking,base_on_balls,hit_by_pitch,singles,doubles,triples,hrs,bip_location,name
57,4/1/2023 12:00,201699,1600251,1,1,0,0,0,0,1,0,0,0,15,Ka******r
58,4/1/2023 12:00,201699,1631011,1,0,1,0,0,0,0,0,0,0,NULL,Ma*******n
59,4/1/2023 12:00,201699,1600675,1,1,0,0,0,0,1,0,0,0,11,Do**d
60,4/1/2023 12:00,201699,1600762,1,0,0,0,0,0,0,0,0,0,8,St*****y
61,4/1/2023 12:00,201699,1651897,1,0,0,0,0,0,0,0,0,0,13,Me***e
62,4/1/2023 12:00,201699,1674816,1,0,1,1,0,0,0,0,0,0,NULL,Vo*****a
63,4/1/2023 12:00,201699,1674820,1,0,0,0,0,0,0,0,0,0,2,Gr*****d
64,4/1/2023 12:00,201699,1599778,1,0,0,0,0,0,0,0,0,0,13,Wo**d
65,4/1/2023 12:00,201699,1651898,1,0,0,0,0,0,0,0,0,0,4,Bo**********t
66,4/1/2023 12:00,201699,1600251,1,0,0,0,0,0,0,0,0,0,2,Ka******r
67,4/1/2023 12:00,201699,1631011,0,0,0,0,1,0,0,0,0,0,NULL,Ma*******n
68,4/1/2023 12:00,201699,1600675,0,0,0,0,0,1,0,0,0,0,NULL,Do**d
69,4/1/2023 12:00,201699,1600762,1,0,0,0,0,0,0,0,0,0,0,St*****y
70,4/1/2023 12:00,201699,1651897,1,0,0,0,0,0,0,0,0,0,15,Me***e
71,4/1/2023 12:00,201699,1674816,1,1,0,0,0,0,1,0,0,0,15,Vo*****a
72,4/1/2023 12:00,201699,1674820,1,1,0,0,0,0,1,0,0,0,13,Gr*****d
73,4/1/2023 12:00,201699,1631009,1,0,1,1,0,0,0,0,0,0,NULL,Bu*******e
74,4/6/2023 15:00,204780,1651898,1,0,0,0,0,0,0,0,0,0,8,Bo**********t
75,4/6/2023 15:00,204780,1600251,1,1,0,0,0,0,1,0,0,0,13,Ka******r
76,4/6/2023 15:00,204780,1600762,1,0,0,0,0,0,0,0,0,0,11,St*****y
77,4/6/2023 15:00,204780,1600675,1,1,0,0,0,0,1,0,0,0,15,Do**d
78,4/6/2023 15:00,204780,1631011,1,0,0,0,0,0,0,0,0,0,6,Ma*******n
79,4/6/2023 15:00,204780,1651897,1,0,0,0,0,0,0,0,0,0,4,Me***e
80,4/6/2023 15:00,204780,1674816,0,0,0,0,1,0,0,0,0,0,NULL,Vo*****a
81,4/6/2023 15:00,204780,1674820,1,0,0,0,0,0,0,0,0,0,13,Gr*****d
82,4/6/2023 15:00,204780,1599778,1,0,0,0,0,0,0,0,0,0,5,Wo**d
83,4/6/2023 15:00,204780,1651898,1,0,0,0,0,0,0,0,0,0,5,Bo**********t
84,4/6/2023 15:00,204780,1600251,1,0,0,0,0,0,0,0,0,0,6,Ka******r
85,4/6/2023 15:00,204780,1600762,1,0,0,0,0,0,0,0,0,0,4,St*****y
86,4/6/2023 15:00,204780,1600675,1,0,0,0,0,0,0,0,0,0,11,Do**d
87,4/6/2023 15:00,204780,1631011,1,0,0,0,0,0,0,0,0,0,2,Ma*******n
88,4/6/2023 15:00,204780,1651897,1,1,0,0,0,0,0,1,0,0,14,Me***e
89,4/6/2023 15:00,204780,1674816,0,0,0,0,1,0,0,0,0,0,NULL,Vo*****a
90,4/6/2023 15:00,204780,1674820,1,1,0,0,0,0,1,0,0,0,5,Gr*****d
91,4/6/2023 15:00,204780,1599778,1,0,1,0,0,0,0,0,0,0,NULL,Wo**d
92,4/6/2023 15:00,204780,1651898,1,0,0,0,0,0,0,0,0,0,13,Bo**********t
93,4/6/2023 15:00,204780,1600251,1,0,0,0,0,0,0,0,0,0,15,Ka******r
94,4/6/2023 15:00,204780,1600762,1,0,0,0,0,0,0,0,0,0,11,St*****y
95,4/6/2023 15:00,204780,1600675,1,0,0,0,0,0,0,0,0,0,11,Do**d
96,4/6/2023 15:00,204780,1631009,1,0,0,0,0,0,0,0,0,0,6,Bu*******e
97,4/6/2023 15:00,204780,1651897,1,1,0,0,0,0,0,1,0,0,10,Me***e
98,4/6/2023 15:00,204780,1674816,1,0,0,0,0,0,0,0,0,0,2,Vo*****a
99,4/6/2023 12:00,204781,1651898,1,1,0,0,0,0,1,0,0,0,15,Bo**********t
100,4/6/2023 12:00,204781,1600251,1,0,1,0,0,0,0,0,0,0,NULL,Ka******r
101,4/6/2023 12:00,204781,1600762,1,1,0,0,0,0,0,0,0,1,13,St*****y
102,4/6/2023 12:00,204781,1600675,1,0,0,0,0,0,0,0,0,0,4,Do**d
103,4/6/2023 12:00,204781,1631011,1,0,0,0,0,0,0,0,0,0,13,Ma*******n
104,4/6/2023 12:00,204781,1651897,1,0,1,0,0,0,0,0,0,0,NULL,Me***e
105,4/6/2023 12:00,204781,1674816,1,1,0,0,0,0,1,0,0,0,15,Vo*****a
106,4/6/2023 12:00,204781,1674820,1,0,0,0,0,0,0,0,0,0,15,Gr*****d
107,4/6/2023 12:00,204781,1599778,1,1,0,0,0,0,1,0,0,0,7,Wo**d
108,4/6/2023 12:00,204781,1651898,1,0,0,0,0,0,0,0,0,0,8,Bo**********t
109,4/6/2023 12:00,204781,1600251,0,0,0,0,1,0,0,0,0,0,NULL,Ka******r
110,4/6/2023 12:00,204781,1600762,1,1,0,0,0,0,0,0,0,1,13,St*****y
111,4/6/2023 12:00,204781,1600675,1,1,0,0,0,0,1,0,0,0,NULL,Do**d
112,4/6/2023 12:00,204781,1631011,1,0,1,0,0,0,0,0,0,0,NULL,Ma*******n
113,4/6/2023 12:00,204781,1651897,1,0,0,0,0,0,0,0,0,0,6,Me***e
114,4/6/2023 12:00,204781,1674816,1,0,0,0,0,0,0,0,0,0,15,Vo*****a
115,4/6/2023 12:00,204781,1674820,1,0,0,0,0,0,0,0,0,0,8,Gr*****d
116,4/6/2023 12:00,204781,1599778,1,0,1,1,0,0,0,0,0,0,NULL,Wo**d
117,4/6/2023 12:00,204781,1651898,1,1,0,0,0,0,1,0,0,0,6,Bo**********t
118,4/6/2023 12:00,204781,1600251,1,0,0,0,0,0,0,0,0,0,6,Ka******r
119,4/6/2023 12:00,204781,1600762,0,0,0,0,1,0,0,0,0,0,NULL,St*****y
120,4/6/2023 12:00,204781,1600675,1,0,0,0,0,0,0,0,0,0,4,Do**d
121,4/6/2023 12:00,204781,1631011,1,0,0,0,0,0,0,0,0,0,4,Ma*******n
