"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Jose Altuve","HOU","2B","1204","1191","10392.2","1818","3045","72","38","34","634","257","394","33","","","","","",".985","","5417"
"Kenji Johjima","SEA","C","447","421","3692.2","2732","183","18","3","13","9","21","8","5","","174","116","26","120",".994","","5811"
"Nick Markakis","- - -","RF","2044","2002","17775.0","3983","119","26","21","4","0","17","0","0","","","","","",".994","","5930"
"Jean Segura","ARI","2B","142","133","1172.0","218","382","9","6","3","76","31","44","5","","","","","",".985","","5933"
"Jean Segura","- - -","SS","905","891","7810.2","1095","2510","115","56","59","476","275","218","34","","","","","",".969","","5933"
"Ian Kinsler","- - -","2B","1828","1804","15854.0","3396","5220","168","115","51","1183","505","732","62","","","","","",".981","","6195"
"Alcides Escobar","- - -","SS","1386","1372","12070.2","1949","3709","140","73","67","717","393","346","53","","","","","",".976","","6310"
"Adam Jones","- - -","CF","1590","1565","13783.2","3964","96","56","35","21","0","24","0","1","","","","","",".986","","6368"
"Michael Bourn","- - -","CF","1159","1095","9772.1","2699","54","27","24","3","0","11","0","0","","","","","",".990","","6387"
"Yadier Molina","STL","C","1949","1882","16327.2","13434","972","72","12","55","32","77","27","21","","513","345","86","476",".995","","7007"
"Salvador Perez","KCR","C","874","856","7427.0","6216","499","36","2","33","6","27","6","13","","341","186","29","304",".995","","7304"
"Jonathan Lucroy","- - -","C","1091","1032","9163.2","7987","580","64","18","46","9","39","9","15","","666","257","50","449",".993","","7870"
"Hanley Ramirez","- - -","SS","1077","1069","9237.2","1592","2689","147","73","74","566","304","273","53","","","","","",".967","","8001"
"Hunter Pence","- - -","RF","1415","1399","12383.1","2880","90","43","30","11","0","14","0","0","","","","","",".986","","8252"
"Kurt Suzuki","- - -","C","1397","1326","11809.1","9660","543","62","12","46","10","29","11","21","","784","236","62","387",".994","","8259"
"Dustin Pedroia","BOS","2B","1492","1471","12879.1","2574","4003","57","42","15","862","351","546","50","","","","","",".991","","8370"
"Tadahito Iguchi","- - -","2B","468","456","4096.1","907","1289","29","18","11","289","107","198","14","","","","","",".987","","8581"
"Yuniesky Betancourt","- - -","SS","952","934","8239.1","1448","2583","127","67","60","544","267","281","42","","","","","",".969","","8585"
"Elvis Andrus","TEX","SS","1599","1577","13897.2","2496","4426","191","112","78","987","508","473","82","","","","","",".973","","8709"
"Justin Smoak","- - -","1B","1132","1024","9207.2","8764","499","37","29","7","808","67","5","843","216","","","","",".996","","9054"
"Paul Goldschmidt","- - -","1B","1229","1214","10784.0","10602","829","43","30","11","912","114","5","943","289","","","","",".996","","9218"
"Evan Longoria","- - -","3B","1587","1573","13828.2","1152","2885","145","63","80","317","306","34","22","","","","","",".965","","9368"
"Jason Kipnis","CLE","2B","1050","1041","9136.0","1554","2746","69","41","28","518","234","301","31","","","","","",".984","","9776"
"Nolan Arenado","COL","3B","1021","1013","8807.2","682","2313","88","43","45","231","220","34","15","","","","","",".971","","9777"
"Kyle Seager","SEA","3B","1225","1211","10787.2","806","2525","117","89","28","262","263","23","14","","","","","",".966","","9785"
"Brian Dozier","- - -","2B","1033","1010","8903.1","1745","2806","59","32","25","642","253","408","29","","","","","",".987","","9810"
"Andrew McCutchen","- - -","CF","1329","1320","11599.0","2954","63","37","28","9","0","16","1","0","","","","","",".988","","9847"
"Austin Jackson","- - -","CF","1019","970","8590.2","2432","39","28","27","1","0","12","0","0","","","","","",".989","","9848"
"Jay Bruce","- - -","RF","1431","1375","12262.1","2821","93","48","40","8","0","16","0","0","","","","","",".984","","9892"
"Mike Trout","LAA","CF","1042","1031","8959.1","2565","37","16","12","4","0","10","0","0","","","","","",".994","","10155"
"Billy Hamilton","- - -","CF","777","718","6402.0","1773","55","10","5","5","0","13","0","0","","","","","",".995","","10199"
"Andrelton Simmons","- - -","SS","1027","1012","8877.1","1556","2933","84","36","48","643","312","334","60","","","","","",".982","","10847"
"Kole Calhoun","LAA","RF","942","896","7968.0","1847","58","30","20","10","0","13","0","0","","","","","",".984","","11200"
"Jonathan Schoop","- - -","2B","761","730","6506.1","1317","2053","67","41","26","509","184","339","29","","","","","",".981","","11265"
"Odubel Herrera","PHI","CF","594","556","4942.2","1405","24","18","15","3","0","9","0","0","","","","","",".988","","11476"
"Manny Machado","- - -","3B","850","850","7514.0","645","1722","79","35","43","167","152","20","14","","","","","",".968","","11493"
"Nick Castellanos","DET","3B","527","518","4401.0","310","847","54","36","17","70","71","1","11","","","","","",".955","","11737"
"J.T. Realmuto","- - -","C","627","613","5385.2","4807","331","39","4","32","14","31","11","11","","234","134","44","194",".992","","11739"
"Joe Panik","- - -","2B","644","604","5444.0","1136","1645","35","26","9","383","124","257","30","","","","","",".988","","11936"
